entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Chocolate cheesecake,2022,4.90042383,1.19862745,10.4095084,1.9223017,6.51117527,1.59263453,13.8307946,2.55422592,5.611068006,1.368604612,1.348055625,TRUE,3,,
Chocolate spread,2022,5.37230039,1.05263038,11.4845282,2.33757737,9.38421421,1.82038325,18.5639985,3.77564669,6.151374632,1.201903721,1.487273197,TRUE,1,,
Coconut milk,2022,3.31998978,12.8486918,257.293857,28.2687312,0.54526903,2.21662094,32.7387494,4.41586448,3.80144434,14.67076267,33.32015479,TRUE,1,,
Coconut oil,2022,0.52874128,0.33900652,9.82196584,4.10694704,0.7344971,0.42718744,14.1754955,4.57006482,0.605417691,0.387080979,1.271967492,TRUE,1,,
Cod,2022,10.9041093,8.56071896,7.08744624,74.4857813,5.2678573,3.97472537,3.51897646,32.1390842,12.48538921,9.774713109,0.917840824,TRUE,2,,
Cod fish fingers,2022,9.31318157,4.7010901,6.94960279,11.2054528,5.41645763,2.70601645,4.07583281,6.43255082,10.66375011,5.367750915,0.899989776,TRUE,2,,
Cod fishcakes,2022,7.81567511,5.02188633,6.54161222,12.2676055,3.80855786,2.38374789,3.27229407,5.79648151,8.949079931,5.734039206,0.847154045,TRUE,2,,
Cottage cheese,2022,25.2785031,29.3469683,22.3375661,244.477973,29.91506,34.6943374,26.4100362,288.289479,28.94431276,33.50865705,2.892766927,TRUE,3,,
Courgettes,2022,0.84647942,3.25401495,4.49981287,16.3545274,1.26747982,4.76121335,6.56022139,24.1043607,0.969233225,3.715466276,0.582736265,TRUE,1,,
Couscous,2022,1.15797878,0.85287951,2.24363817,11.9508501,2.95147959,2.08387162,5.47513434,33.27961,1.32590525,0.973826213,0.290556378,TRUE,1,,
Cow’s milk,2022,3.70323663,7.13350658,10.8837884,17.6118152,4.06814126,7.76786552,14.5623721,18.6594291,4.240268453,8.145107976,1.409475991,TRUE,3,,
Cracker biscuits,2022,2.44846629,0.59148399,2.91772966,4.34961788,4.45800485,1.06104988,5.0888967,7.17091952,2.803535233,0.675362238,0.377852799,TRUE,1,,
Crisps,2022,3.03172445,0.81520028,4.16339067,4.21043382,7.52594831,1.9678572,9.3317199,8.97582279,3.471375671,0.930803698,0.539168806,TRUE,1,,
Croissants,2022,1.68222778,0.39842819,3.57376885,0.70366513,3.67005056,0.8795282,6.83567978,1.61685051,1.926179205,0.454929226,0.462811404,TRUE,3,,
Cucumber,2022,0.84711374,4.11556502,7.33888191,22.6574208,1.08024866,5.39189395,9.53790853,29.5310635,0.969959532,4.699192619,0.95040233,TRUE,1,,
Dark chocolate,2022,20.6200366,3.69151784,26.6555027,4.47102285,48.7882327,9.64209952,53.5611137,18.0804072,23.61028998,4.215011378,3.451949791,TRUE,1,,
Doughnuts,2022,2.19966493,0.58518839,3.88634727,1.93170556,3.03846788,0.80693386,5.39246287,2.82949541,2.518653476,0.66817386,0.503291039,TRUE,3,,
Egg noodles,2022,1.38151153,0.88547454,2.90105402,11.8370242,2.9990484,1.98231059,5.93993187,29.7399041,1.581854022,1.011043539,0.375693264,TRUE,3,,
Eggs,2022,4.43660007,2.76508633,3.14394473,3.95990513,6.82472851,4.3654015,5.07266645,6.29357567,5.079981971,3.157202768,0.407148178,TRUE,3,,
Falafels,2022,1.09810618,0.51289385,1.37978142,1.0453506,6.56752449,3.14461448,8.33900805,6.10791422,1.257350112,0.585627243,0.178684913,TRUE,1,,
Feta cheese,2022,14.8386092,5.04211349,8.41857764,5.98439845,17.4721208,5.93487186,9.90700191,7.04467882,16.99045801,5.757134776,1.090225446,TRUE,3,,
Frozen chips (french fries),2022,0.75347185,0.5310243,3.82211933,3.24433334,2.10597659,1.45552984,10.7621016,8.03632332,0.862737987,0.606328769,0.494973371,TRUE,1,,
Frozen onion rings,2022,0.77117469,0.30021765,1.89194658,0.61807867,2.10316221,0.80271067,5.19584677,1.65092529,0.883008038,0.342791466,0.245011496,TRUE,1,,
Frozen potato wedges,2022,0.66477544,0.48001977,3.09682405,4.35358741,1.68886116,1.21630088,7.89762858,9.01511976,0.7611791,0.548091295,0.40104594,TRUE,1,,
Frozen roast potatoes,2022,1.20341714,0.94558726,5.07876594,3.75461067,2.44341273,1.92067864,10.184159,7.85187212,1.377932939,1.079680834,0.657712039,TRUE,1,,
Frozen sweet potato fries,2022,0.40988482,0.28167263,2.64197889,0.69419418,1.96766162,1.36296728,12.5793911,3.33549728,0.469325038,0.321616579,0.34214243,TRUE,1,,
Fruit cake,2022,3.45211607,0.9676893,9.63852207,4.1171007,2.20340645,0.60707276,5.85720093,2.35276413,3.952731173,1.104917161,1.248211096,TRUE,3,,
Garden peas,2022,1.00383673,0.91295079,1.21655119,13.5249644,6.60847462,6.02037587,8.02119038,89.0531237,1.149410001,1.042416192,0.157546218,TRUE,1,,
Goat’s cheese,2022,19.312073,6.22025078,12.5481493,7.47856108,22.617936,7.29575635,14.4458306,8.77346018,22.11264958,7.102343521,1.625014611,TRUE,3,,
Granola,2022,1.78119262,0.42979982,1.76390262,1.11454643,5.1415977,1.21946944,4.95548566,3.13096662,2.039495617,0.490749662,0.228429505,TRUE,1,,
Grapes,2022,8.27887637,12.6714188,116.820455,203.724449,1.53653249,2.34984483,21.6391561,37.7855073,9.479453193,14.46835062,15.12852148,TRUE,1,,
Halloumi cheese,2022,16.1724524,5.28251881,7.03595102,7.1418413,19.1011108,6.24776532,8.30260126,8.45686526,18.51773099,6.031631935,0.911172073,TRUE,3,,
Ice cream,2022,3.66180945,1.94199123,16.9844229,10.1562669,5.28727518,2.58406228,20.8483252,11.3667395,4.192833632,2.217384687,2.199522393,TRUE,3,,
Ice lollies,2022,1.31439294,1.07069991,23.5601665,20.9094946,1.94134399,1.35166355,29.5327668,25.654888,1.505002104,1.222535688,3.051096531,TRUE,1,,
Kale,2022,0.90341917,2.64180263,3.15399305,14.8324739,0.81039205,2.36991105,2.82824442,13.2871186,1.0344302,3.016436227,0.408449459,TRUE,1,,
Kiwis,2022,1.61370666,2.79514228,13.805252,32.5421066,1.06526909,1.89626665,9.63925075,21.7362001,1.847721365,3.191520948,1.787812344,TRUE,1,,
Lamb (leg),2022,30.7409473,15.1824832,16.6285286,23.442815,43.4221183,21.4449847,23.4880309,33.1125239,35.19890357,17.33550865,2.153433251,TRUE,2,,
